episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,80.0,-29.3,-29.3,-29.3,-29.3
1,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,73.3,-36.6,-30.3,-33.0,-29.8
2,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,67.3,-13.4,-12.4,-29.3,-29.3
3,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,61.9,-32.2,-6.7,-30.8,-20.9
4,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,56.9,-35.9,-20.9,-32.2,-20.9
5,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,52.5,-49.3,-26.5,-34.1,-23.7
6,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,48.4,-13.5,-1.0,-32.2,-20.9
7,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,44.8,-44.4,-12.9,-34.1,-16.9
8,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,41.5,-19.1,13.9,-32.2,-12.9
9,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,38.5,-17.3,-8.4,-30.8,-12.7
10,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,35.8,-37.2,-1.9,-32.2,-12.4
11,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,33.3,-9.6,-8.9,-30.8,-10.7
12,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,31.1,5.6,-11.2,-29.3,-11.2
13,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,29.1,-1.8,2.2,-24.2,-10.1
14,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,27.3,-22.9,1.2,-22.9,-8.9
15,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,25.6,-34.8,-2.9,-26.1,-8.7
16,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,24.1,-11.3,-3.7,-22.9,-8.4
17,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,22.8,-27.1,2.7,-25.0,-7.5
18,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,21.6,-9.1,-4.7,-22.9,-6.7
19,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,20.5,-35.6,-23.0,-25.0,-7.5
20,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,19.5,-25.7,-7.3,-25.7,-7.3
21,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,18.6,-2.6,6.7,-24.3,-7.0
22,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,17.8,-23.5,-11.6,-23.5,-7.3
23,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,17.0,1.3,2.3,-23.2,-7.0
24,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,16.4,-10.7,1.5,-22.9,-6.7
25,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,15.7,-0.6,0.4,-21.0,-5.7
26,[26]_concat sin + base: 100+66sin((2pi/142)t)+0e,15.2,6.8,7.7,-19.1,-4.7
27,[27]_concat sin + base: 100+58sin((2pi/119)t)+0e,14.7,12.3,22.0,-18.2,-4.2
28,[28]_concat sin + base: 100+35sin((2pi/132)t)+0e,14.3,-2.9,6.7,-17.3,-3.7
29,[29]_concat sin + base: 100+21sin((2pi/132)t)+0e,13.9,4.3,-7.7,-15.4,-4.2
30,[30]_concat sin + base: 100+36sin((2pi/118)t)+0e,13.5,-15.4,0.2,-15.4,-3.7
31,[31]_concat sin + base: 100+44sin((2pi/153)t)+0e,13.2,-11.0,1.5,-14.5,-3.3
32,[32]_concat sin + base: 100+23sin((2pi/111)t)+0e,12.9,-30.3,-21.5,-15.4,-3.7
33,[33]_concat sin + base: 100+62sin((2pi/152)t)+0e,12.6,-18.4,1.6,-16.3,-3.3
34,[34]_concat sin + base: 100+21sin((2pi/147)t)+0e,12.3,-0.6,6.4,-15.4,-2.9
35,[35]_concat sin + base: 100+75sin((2pi/148)t)+0e,12.1,-17.6,-11.4,-16.3,-3.3
36,[36]_concat sin + base: 100+32sin((2pi/114)t)+0e,11.9,6.7,11.9,-15.4,-2.9
37,[37]_concat sin + base: 100+65sin((2pi/113)t)+0e,11.7,3.4,7.7,-14.5,-2.4
38,[38]_concat sin + base: 100+75sin((2pi/109)t)+0e,11.6,-13.2,6.5,-13.5,-1.9
39,[39]_concat sin + base: 100+69sin((2pi/133)t)+0e,11.4,11.7,9.8,-13.4,-1.5
40,[40]_concat sin + base: 100+20sin((2pi/94)t)+0e,11.3,2.3,8.0,-13.4,-1.0
41,[41]_concat sin + base: 100+48sin((2pi/81)t)+0e,11.2,16.6,10.2,-13.3,-0.4
42,[42]_concat sin + base: 100+45sin((2pi/152)t)+0e,11.0,8.6,6.8,-13.2,0.2
43,[43]_concat sin + base: 100+20sin((2pi/132)t)+0e,10.9,1.9,10.7,-12.3,0.3
44,[44]_concat sin + base: 100+20sin((2pi/144)t)+0e,10.9,4.2,4.7,-11.3,0.4
45,[45]_concat sin + base: 100+72sin((2pi/116)t)+0e,10.8,-3.1,8.5,-11.2,0.8
46,[46]_concat sin + base: 100+57sin((2pi/150)t)+0e,10.7,5.8,12.0,-11.0,1.2
47,[47]_concat sin + base: 100+61sin((2pi/141)t)+0e,10.6,3.1,5.4,-10.9,1.4
48,[48]_concat sin + base: 100+25sin((2pi/124)t)+0e,10.6,7.4,4.8,-10.7,1.5
49,[49]_concat sin + base: 100+36sin((2pi/111)t)+0e,10.5,12.7,7.2,-10.1,1.5
50,[50]_concat sin + base: 100+48sin((2pi/100)t)+0e,10.5,11.6,16.4,-9.6,1.5
51,[51]_concat sin + base: 100+74sin((2pi/143)t)+0e,10.4,4.9,6.2,-9.3,1.6
52,[52]_concat sin + base: 100+46sin((2pi/146)t)+0e,10.4,-9.4,-1.9,-9.4,1.5
53,[53]_concat sin + base: 100+57sin((2pi/122)t)+0e,10.3,1.4,12.0,-9.3,1.6
54,[54]_concat sin + base: 100+21sin((2pi/140)t)+0e,10.3,-12.6,-2.2,-9.4,1.5
