episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,80.0,-34.3,9.5,-34.3,9.5
1,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,73.3,-29.0,4.1,-31.6,6.8
2,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,67.3,-27.7,-1.3,-29.0,4.1
3,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,61.9,3.2,3.0,-28.4,3.5
4,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,56.9,-47.8,-13.5,-29.0,3.0
5,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,52.5,-30.9,10.3,-29.9,3.5
6,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,48.4,-20.7,-7.1,-29.0,3.0
7,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,44.8,-29.6,-7.4,-29.3,0.8
8,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,41.5,15.5,31.2,-29.0,3.0
9,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,38.5,-11.3,-4.8,-28.4,0.8
10,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,35.8,-11.6,-4.9,-27.7,-1.3
11,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,33.3,4.0,8.6,-24.2,0.8
12,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,31.1,-9.1,-3.1,-20.7,-1.3
13,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,29.1,-7.0,10.3,-16.2,0.8
14,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,27.3,-6.2,12.3,-11.6,3.0
15,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,25.6,0.5,34.5,-11.5,3.5
16,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,24.1,-7.6,9.4,-11.3,4.1
17,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,22.8,-33.5,-25.1,-11.5,3.5
18,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,21.6,2.1,14.0,-11.3,4.1
19,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,20.5,-14.8,5.6,-11.5,4.8
20,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,19.5,-8.4,14.6,-11.3,5.6
21,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,18.6,11.8,26.5,-10.2,7.1
22,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,17.8,8.9,5.1,-9.1,5.6
23,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,17.0,-24.3,2.3,-10.2,5.3
24,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,16.4,7.0,23.4,-9.1,5.6
25,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,15.7,9.9,23.4,-8.7,7.1
