episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,80.0,-35.0,-55.0,-35.0,-55.0
18,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,21.6,1.7,-2.9,-15.4,-1.4
19,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,20.5,3.7,6.5,-15.3,-0.7
20,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,19.5,-26.0,-11.1,-15.4,-1.4
21,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,18.6,13.9,31.2,-15.3,-0.7
22,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,17.8,-9.8,-1.9,-15.1,-1.4
23,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,17.0,-2.3,15.5,-14.9,-0.7
24,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,16.4,5.6,20.4,-14.7,0.0
25,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,15.7,25.5,29.1,-13.8,0.6
26,[26]_concat sin + base: 100+66sin((2pi/142)t)+0e,15.2,14.0,32.4,-12.8,1.3
27,[27]_concat sin + base: 100+58sin((2pi/119)t)+0e,14.7,11.5,12.7,-11.3,1.3
28,[28]_concat sin + base: 100+35sin((2pi/132)t)+0e,14.3,10.0,23.7,-9.8,1.4
29,[29]_concat sin + base: 100+21sin((2pi/132)t)+0e,13.9,-19.3,-3.9,-11.3,1.3
30,[30]_concat sin + base: 100+36sin((2pi/118)t)+0e,13.5,17.3,25.9,-9.8,1.4
31,[31]_concat sin + base: 100+44sin((2pi/153)t)+0e,13.2,16.4,20.7,-9.2,3.0
32,[32]_concat sin + base: 100+23sin((2pi/111)t)+0e,12.9,-16.1,-0.5,-9.8,1.4
33,[33]_concat sin + base: 100+62sin((2pi/152)t)+0e,12.6,9.1,13.0,-9.2,3.0
34,[34]_concat sin + base: 100+21sin((2pi/147)t)+0e,12.3,2.7,10.0,-8.6,4.6
35,[35]_concat sin + base: 100+75sin((2pi/148)t)+0e,12.1,-6.8,5.3,-7.8,5.0
36,[36]_concat sin + base: 100+32sin((2pi/114)t)+0e,11.9,25.3,24.8,-7.0,5.3
37,[37]_concat sin + base: 100+65sin((2pi/113)t)+0e,11.7,8.7,27.9,-6.9,5.9
38,[38]_concat sin + base: 100+75sin((2pi/109)t)+0e,11.6,-10.6,-6.7,-7.0,5.3
39,[39]_concat sin + base: 100+69sin((2pi/133)t)+0e,11.4,17.7,0.6,-6.9,5.0
40,[40]_concat sin + base: 100+20sin((2pi/94)t)+0e,11.3,6.8,20.5,-6.8,5.3
41,[41]_concat sin + base: 100+48sin((2pi/81)t)+0e,11.2,7.5,16.3,-4.5,5.9
42,[42]_concat sin + base: 100+45sin((2pi/152)t)+0e,11.0,20.3,22.0,-2.3,6.5
43,[43]_concat sin + base: 100+20sin((2pi/132)t)+0e,10.9,19.4,27.6,-0.3,7.0
44,[44]_concat sin + base: 100+20sin((2pi/144)t)+0e,10.9,34.2,32.6,1.7,7.5
45,[45]_concat sin + base: 100+72sin((2pi/116)t)+0e,10.8,5.8,8.2,2.2,7.9
46,[46]_concat sin + base: 100+57sin((2pi/150)t)+0e,10.7,-3.1,18.3,1.7,8.2
47,[47]_concat sin + base: 100+61sin((2pi/141)t)+0e,10.6,-7.7,-1.7,-0.3,7.9
48,[48]_concat sin + base: 100+25sin((2pi/124)t)+0e,10.6,10.1,12.9,1.7,8.2
49,[49]_concat sin + base: 100+36sin((2pi/111)t)+0e,10.5,-5.7,12.1,-0.3,9.1
50,[50]_concat sin + base: 100+48sin((2pi/100)t)+0e,10.5,-22.6,-16.7,-2.3,8.2
51,[51]_concat sin + base: 100+74sin((2pi/143)t)+0e,10.4,-4.6,0.7,-2.7,7.9
52,[52]_concat sin + base: 100+46sin((2pi/146)t)+0e,10.4,2.1,19.0,-2.3,8.2
53,[53]_concat sin + base: 100+57sin((2pi/122)t)+0e,10.3,21.3,21.5,-0.3,9.1
54,[54]_concat sin + base: 100+21sin((2pi/140)t)+0e,10.3,-0.0,9.0,-0.0,9.0
55,[55]_concat sin + base: 100+30sin((2pi/140)t)+0e,10.3,11.8,29.1,0.8,9.5
56,[56]_concat sin + base: 100+49sin((2pi/153)t)+0e,10.3,14.1,27.2,1.7,10.0
