episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,99.0,-48.4,15.4,-48.4,15.4
1,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,98.0,-41.1,-12.5,-44.8,1.4
2,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,97.0,-28.0,0.9,-41.1,0.9
3,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,96.1,-36.0,12.3,-38.5,6.6
4,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,95.1,-46.0,-1.8,-41.1,0.9
5,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,94.1,-51.7,20.8,-43.6,6.6
6,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,93.2,-25.8,15.0,-41.1,12.3
7,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,92.3,-67.5,4.6,-43.6,8.4
8,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,91.4,-37.9,19.5,-41.1,12.3
9,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,90.4,-34.8,-4.1,-39.5,8.4
10,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,89.5,-61.1,-14.9,-41.1,4.6
11,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,88.6,-34.3,32.0,-39.5,8.4
12,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,87.8,-55.1,14.5,-41.1,12.3
13,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,86.9,-22.5,10.5,-39.5,11.4
14,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,86.0,-34.9,-2.4,-37.9,10.5
15,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,85.1,-19.8,7.6,-36.9,9.1
16,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,84.3,-24.3,4.5,-36.0,7.6
17,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,83.5,-27.1,-10.6,-35.4,6.1
18,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,82.6,-34.5,0.6,-34.9,4.6
19,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,81.8,-60.8,12.3,-35.4,6.1
20,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,81.0,-33.9,3.2,-34.9,4.6
21,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,80.2,-27.0,16.5,-34.9,6.1
