episode,game,exploration,explored,safe,MA_explored,MA_safe
0,['100+53sin((2pi/38)t)+0e'],80.0,-27.4,-35.7,-27.4,-35.7
1,['100+45sin((2pi/37)t)+0e'],73.3,-6.4,-25.2,-16.9,-30.4
2,['100+9sin((2pi/36)t)+0e'],67.3,-8.7,-14.7,-8.7,-25.2
3,['100+76sin((2pi/37)t)+0e'],61.9,-31.3,-49.3,-18.1,-30.4
4,['100+45sin((2pi/39)t)+0e'],56.9,-42.9,-82.2,-27.4,-35.7
5,['100+45sin((2pi/35)t)+0e'],52.5,-18.6,-28.6,-23.0,-32.1
6,['100+8sin((2pi/37)t)+0e'],48.4,-28.4,-16.5,-27.4,-28.6
7,['100+62sin((2pi/37)t)+0e'],44.8,-97.1,-142.9,-27.9,-32.1
8,['100+38sin((2pi/38)t)+0e'],41.5,-50.4,-61.6,-28.4,-35.7
9,['100+30sin((2pi/38)t)+0e'],38.5,-18.5,-15.2,-27.9,-32.1
10,['100+30sin((2pi/36)t)+0e'],35.8,-38.0,-29.7,-28.4,-29.7
11,['100+67sin((2pi/39)t)+0e'],33.3,-162.0,-210.7,-29.8,-32.7
12,['100+49sin((2pi/39)t)+0e'],31.1,-25.7,-20.8,-28.4,-29.7
13,['100+30sin((2pi/35)t)+0e'],29.1,-25.6,-40.5,-27.9,-32.7
14,['100+20sin((2pi/37)t)+0e'],27.3,-107.5,-139.4,-28.4,-35.7
15,['100+10sin((2pi/37)t)+0e'],25.6,-18.9,-7.0,-27.9,-32.7
16,['100+38sin((2pi/35)t)+0e'],24.1,-13.2,-21.1,-27.4,-29.7
17,['100+48sin((2pi/37)t)+0e'],22.8,-17.5,-6.9,-26.5,-29.1
18,['100+42sin((2pi/39)t)+0e'],21.6,-98.5,-108.9,-27.4,-29.7
19,['100+11sin((2pi/38)t)+0e'],20.5,-42.2,-47.2,-27.9,-32.7
20,['100+11sin((2pi/37)t)+0e'],19.5,-56.8,-78.0,-28.4,-35.7
21,['100+9sin((2pi/35)t)+0e'],18.6,-19.0,-36.7,-27.9,-36.2
22,['100+18sin((2pi/36)t)+0e'],17.8,-102.2,-139.3,-28.4,-36.7
23,['100+47sin((2pi/35)t)+0e'],17.0,-42.0,-40.5,-29.8,-38.6
24,['100+23sin((2pi/38)t)+0e'],16.4,-20.8,-31.9,-28.4,-36.7
25,['100+40sin((2pi/36)t)+0e'],15.7,-8.9,-22.7,-27.9,-36.2
26,['100+7sin((2pi/36)t)+0e'],15.2,-30.0,-11.9,-28.4,-35.7
27,['100+33sin((2pi/37)t)+0e'],14.7,-22.1,-27.8,-27.9,-33.8
28,['100+34sin((2pi/38)t)+0e'],14.3,-25.6,-32.8,-27.4,-32.8
29,['100+13sin((2pi/39)t)+0e'],13.9,-51.4,-56.3,-27.9,-34.2
30,['100+38sin((2pi/35)t)+0e'],13.5,-26.2,-5.0,-27.4,-32.8
31,['100+42sin((2pi/36)t)+0e'],13.2,3.7,-9.1,-26.8,-32.4
32,['100+7sin((2pi/39)t)+0e'],12.9,-3.5,-34.6,-26.2,-32.8
33,['100+48sin((2pi/36)t)+0e'],12.6,-1.3,-17.8,-25.9,-32.4
34,['100+34sin((2pi/35)t)+0e'],12.3,-27.7,-40.4,-26.2,-32.8
35,['100+31sin((2pi/37)t)+0e'],12.1,-25.2,-46.0,-25.9,-33.7
36,['100+43sin((2pi/39)t)+0e'],11.9,-30.2,-35.5,-26.2,-34.6
37,['100+49sin((2pi/37)t)+0e'],11.7,-22.0,-48.9,-25.9,-35.0
38,['100+32sin((2pi/37)t)+0e'],11.6,-16.0,-7.5,-25.7,-34.6
39,['100+39sin((2pi/35)t)+0e'],11.4,-27.5,-11.7,-25.9,-33.7
40,['100+58sin((2pi/38)t)+0e'],11.3,-44.3,-44.2,-26.2,-34.6
41,['100+50sin((2pi/35)t)+0e'],11.2,-29.2,-12.5,-26.8,-33.7
42,['100+63sin((2pi/38)t)+0e'],11.0,-39.4,-36.6,-27.4,-34.6
43,['100+51sin((2pi/37)t)+0e'],10.9,-93.3,-105.8,-27.4,-35.0
44,['100+41sin((2pi/39)t)+0e'],10.9,-47.0,-49.6,-27.5,-35.5
45,['100+25sin((2pi/36)t)+0e'],10.8,-42.9,-31.1,-27.6,-35.0
46,['100+38sin((2pi/35)t)+0e'],10.7,-34.3,-60.8,-27.7,-35.5
47,['100+76sin((2pi/39)t)+0e'],10.6,-28.5,-33.6,-28.1,-35.0
48,['100+47sin((2pi/36)t)+0e'],10.6,-28.1,-28.8,-28.1,-34.6
49,['100+9sin((2pi/36)t)+0e'],10.5,-48.0,-65.0,-28.3,-35.0
